FlightHistoryId,CutoffTime,ArrivalAirport,ScheduledArrivalTime,CurrentLatitude,CurrentLongitude,CurrentAltitude,CurrentGroundSpeed,StandardPassengerCount,PremiumPassengerCount,FuelRemainingPounds,FuelCost,CrewDelayCost,OtherHourlyCosts,NonarrivalPenalty,DelayCostProportion30m,DelayCostProportion2h,MaxStandardDelayCost,MaxPremiumDelayCost,FreeAltitudeChanges,AltitudeChangeCost,TurbulenceCostPer6Minutes

308567953,2013-09-10 18:03:53+00:00,KHOU,2013-09-10 19:05:00+00:00,31.280001,-99.629997,37000,486,109,15,14758.790278,2.91,671.88,1086.06,100000.00,0.054,0.433,8.45,143.04,5,100.00,40.00
308567955,2013-09-10 18:03:53+00:00,KIAD,2013-09-10 19:44:00+00:00,36.279999,-89.900002,31000,458,111,14,19987.956944,4.24,432.51,1806.20,100000.00,0.161,0.511,38.57,174.54,5,100.00,40.00
308567956,2013-09-10 18:03:53+00:00,KIAH,2013-09-10 18:50:00+00:00,32.400002,-101.930000,35000,492,134,15,16133.790278,4.91,312.83,1666.26,100000.00,0.069,0.551,14.63,190.30,5,100.00,40.00
308567975,2013-09-10 18:03:53+00:00,KLAX,2013-09-10 19:13:00+00:00,34.680000,-112.620003,38000,434,131,13,15258.790278,8.58,838.87,1007.58,100000.00,0.070,0.748,27.71,169.62,5,100.00,40.00
308567978,2013-09-10 18:03:53+00:00,KMCI,2013-09-10 18:45:00+00:00,37.730000,-98.230003,41000,454,112,13,13050.456944,1.58,479.82,1587.79,100000.00,0.085,0.866,33.89,56.88,5,100.00,40.00
308568006,2013-09-10 18:03:53+00:00,KSEA,2013-09-10 18:50:00+00:00,45.950001,-119.400002,38000,434,140,13,15592.123611,2.25,628.71,1669.73,100000.00,0.132,0.867,26.49,177.99,5,100.00,40.00
308571766,2013-09-10 18:03:53+00:00,KBNA,2013-09-10 18:49:00+00:00,34.220001,-84.669998,20600,442,110,14,12258.790278,7.77,723.33,1530.18,100000.00,0.204,0.748,13.85,52.08,5,100.00,40.00
308571775,2013-09-10 18:03:53+00:00,KBOS,2013-09-10 18:46:00+00:00,41.029999,-73.169998,24000,443,140,13,13821.290278,4.77,346.19,1270.80,100000.00,0.250,0.552,32.36,193.86,5,100.00,40.00
308571887,2013-09-10 18:03:53+00:00,KCLT,2013-09-10 18:49:00+00:00,33.770000,-83.370003,21400,423,119,12,12633.790278,7.46,941.77,1598.56,100000.00,0.148,0.555,2.78,198.28,5,100.00,40.00
308571956,2013-09-10 18:03:53+00:00,KDCA,2013-09-10 19:04:00+00:00,35.580002,-80.870003,33600,417,121,13,14508.790278,8.48,383.69,1943.34,100000.00,0.213,0.518,27.73,165.29,5,100.00,40.00
308571960,2013-09-10 18:03:53+00:00,KDCA,2013-09-10 19:15:00+00:00,35.279999,-81.430000,35000,422,125,14,14883.790278,2.15,604.96,1383.62,100000.00,0.137,0.675,9.96,68.30,5,100.00,40.00
308571967,2013-09-10 18:03:53+00:00,KDEN,2013-09-10 20:30:00+00:00,33.880001,-85.349998,27100,449,110,14,25842.123611,6.81,467.19,1404.10,100000.00,0.076,0.401,37.36,178.58,5,100.00,40.00
308571991,2013-09-10 18:03:53+00:00,KDFW,2013-09-10 19:03:00+00:00,32.549999,-92.029999,36000,452,134,15,14946.290278,4.82,394.81,1045.77,100000.00,0.199,0.794,8.74,76.67,5,100.00,40.00
308572001,2013-09-10 18:03:53+00:00,KDFW,2013-09-10 19:15:00+00:00,32.650002,-91.769997,36000,440,143,14,15487.956944,2.49,597.99,1646.46,100000.00,0.154,0.637,3.31,74.21,5,100.00,40.00
308572019,2013-09-10 18:03:53+00:00,KDTW,2013-09-10 18:48:00+00:00,36.520000,-83.500000,35600,478,117,15,16467.123611,5.49,543.71,1127.71,100000.00,0.246,0.795,1.34,197.77,5,100.00,40.00
308572041,2013-09-10 18:03:53+00:00,KEWR,2013-09-10 18:49:00+00:00,35.669998,-80.699997,25000,444,139,13,13821.290278,2.16,710.70,1049.23,100000.00,0.262,0.560,20.60,64.36,5,100.00,40.00
308572053,2013-09-10 18:03:53+00:00,KEWR,2013-09-10 19:03:00+00:00,37.669998,-77.730003,39000,440,107,15,15133.790278,1.17,674.51,1370.06,100000.00,0.034,0.482,6.29,93.40,5,100.00,40.00
308572070,2013-09-10 18:03:53+00:00,KFLL,2013-09-10 19:40:00+00:00,32.900002,-84.129997,22800,422,102,15,17842.123611,3.50,739.91,1991.24,100000.00,0.218,0.600,28.26,41.21,5,100.00,40.00
308572080,2013-09-10 18:03:53+00:00,KFLL,2013-09-10 18:55:00+00:00,28.920000,-82.620003,37000,483,111,15,13175.456944,1.17,943.09,1591.93,100000.00,0.173,0.443,22.83,198.75,5,100.00,40.00
308572151,2013-09-10 18:03:53+00:00,KHOU,2013-09-10 19:50:00+00:00,33.430000,-85.650002,28900,470,115,14,18904.623611,3.52,845.65,1656.85,100000.00,0.054,0.485,38.90,197.27,5,100.00,40.00
308572187,2013-09-10 18:03:53+00:00,KIAH,2013-09-10 20:01:00+00:00,33.630001,-84.870003,18000,367,107,13,19383.790278,9.53,737.09,1619.34,100000.00,0.239,0.800,34.96,124.40,5,100.00,40.00
308572249,2013-09-10 18:03:53+00:00,KJFK,2013-09-10 19:02:00+00:00,35.599998,-78.930000,37000,381,124,13,15133.790278,5.88,316.78,1943.64,100000.00,0.074,0.488,32.51,141.14,5,100.00,40.00
308572262,2013-09-10 18:03:53+00:00,KLAX,2013-09-10 19:05:00+00:00,34.320000,-113.949997,40000,430,115,13,18383.790278,5.55,860.91,1124.54,100000.00,0.044,0.449,33.26,185.93,5,100.00,40.00
308572264,2013-09-10 18:03:53+00:00,KLAX,2013-09-10 18:38:00+00:00,34.349998,-114.669998,38000,430,117,15,17342.123611,6.88,621.55,1844.68,100000.00,0.151,0.528,24.37,57.44,5,100.00,40.00
308572269,2013-09-10 18:03:53+00:00,KLAX,2013-09-10 19:41:00+00:00,35.020000,-107.519997,38000,420,144,13,21487.956944,1.22,723.14,1145.02,100000.00,0.273,0.724,21.66,136.21,5,100.00,40.00
308572271,2013-09-10 18:03:53+00:00,KLAX,2013-09-10 21:11:00+00:00,35.169998,-95.949997,38000,462,102,15,28862.956944,2.55,483.77,1865.16,100000.00,0.090,0.803,12.77,167.72,5,100.00,40.00
308572290,2013-09-10 18:03:53+00:00,KLGA,2013-09-10 19:35:00+00:00,35.099998,-81.070000,37000,435,143,13,17404.623611,6.22,309.81,1206.48,100000.00,0.091,0.450,25.86,147.04,5,100.00,40.00
308572304,2013-09-10 18:03:53+00:00,KLGA,2013-09-10 18:59:00+00:00,35.919998,-79.419998,33000,425,112,14,15717.123611,6.56,734.26,1247.45,100000.00,0.260,0.450,2.66,47.59,5,100.00,40.00
308572340,2013-09-10 18:03:53+00:00,KMCI,2013-09-10 19:18:00+00:00,35.320000,-89.800003,36000,446,104,12,16217.123611,3.57,625.70,1209.94,100000.00,0.155,0.766,37.73,134.73,5,100.00,40.00
308572360,2013-09-10 18:03:53+00:00,KMCO,2013-09-10 18:40:00+00:00,30.379999,-82.720001,25700,421,124,16,11946.290278,7.90,332.05,1411.33,100000.00,0.064,0.452,26.87,129.80,5,100.00,40.00
308572403,2013-09-10 18:03:53+00:00,KMEM,2013-09-10 19:03:00+00:00,33.650002,-85.220001,23800,453,100,14,13821.290278,9.58,785.71,1394.30,100000.00,0.188,0.493,11.33,167.21,5,100.00,40.00
308572483,2013-09-10 18:03:53+00:00,KMSP,2013-09-10 19:03:00+00:00,43.529999,-89.169998,36000,428,135,12,14612.956944,8.93,311.13,1199.85,100000.00,0.116,0.888,6.92,147.51,5,100.00,40.00
308572490,2013-09-10 18:03:53+00:00,KMSY,2013-09-10 19:00:00+00:00,31.549999,-87.480003,34000,462,120,12,13217.123611,4.60,873.35,1220.33,100000.00,0.055,0.613,34.32,97.79,5,100.00,40.00
308572518,2013-09-10 18:03:53+00:00,KOKC,2013-09-10 19:48:00+00:00,33.720001,-87.150002,36000,461,104,13,18571.290278,5.27,322.25,1302.27,100000.00,0.102,0.614,26.92,58.89,5,100.00,40.00
